"Alien"	"Mean.Temperature"	"Mean.Jan.Temperature"	"Rango.de.temperatura"	"PET"	"Min.pET"	"Max.pET"	"Insolation"	"Growth.Season"	"AET"	"Water.Defcit"	"Precipitation"	"Rainfall"
26	6.5425	1.745	6.0125	582.051005	7.169775093	103.5091555	2.534791667	233.15	464.3172496	117.7337555	1863.22	1833.22
7	6.185	1.2375	6.4725	573.2018697	0	104.532762	2.601666667	220.2	457.5658464	115.6360233	2179.9475	2149.9475
5	6.5975	1.46	7.285	582.5853444	6.351542258	107.1330203	2.817291667	230.94	463.1717619	119.4135825	1782.1475	1782.1475
20	6.895	1.535	7.745	591.4608433	7.578453564	108.6076113	2.945	233.87	458.1361406	133.3247027	1246.1975	1246.1975
8	6.105	0.775	7.385	569.9736683	3.837667308	107.0926664	2.836458333	210.7	432.2157532	137.7579151	1120.4825	1120.4825
20	6.4475	1.19	7.5425	579.4211674	6.477991638	107.7895092	2.94875	219.22	439.7939608	139.6272066	1112.1175	1112.1175
21	6.0825	1.0225	7.0075	568.6077833	4.525498254	106.3527126	2.964166667	210.11	425.6707865	142.9369969	1033.3625	1033.3625
58	6.36	1.5025	6.5275	577.2553831	5.680042062	105.7933333	3.163541667	225.69	439.6398645	137.6155185	1124.325	1124.325
13	5.7825	2.62	3.5075	604.7064814	11.18584517	101.0375452	2.948611111	208.005	455.8275622	148.8789192	915.0575	915.0575
9	7.5925	2.8925	5.8625	605.9569036	11.36608838	104.4793793	2.739166667	266.27	490.6628595	115.2940442	1608.7525	1608.7525
15	6.51	1.7075	6.07	579.2371399	5.492971485	104.1107259	2.56875	229.11	461.0698773	118.1672625	1873.99	1873.99
25	6.9275	1.7775	7.165	591.8548701	6.491103261	107.1610779	2.733958333	238.92	470.0492395	121.8056306	1586.5425	1586.5425
27	6.8175	1.49	7.625	589.7641297	6.228572363	108.1318807	2.85375	231.54	460.502318	129.2618117	1325.91	1325.91
63	6.8075	1.44	7.69	589.2305878	6.518720459	108.270999	2.9375	226.96	450.5925821	138.6380057	1126.3125	1126.3125
33	6.5425	1.1375	7.6475	581.1727923	6.105845363	108.2334007	2.907916667	219.71	437.3284022	143.8443901	1039.2825	1039.2825
58	6.69	1.4	7.4675	585.4782662	6.657275894	108.3682239	2.982708334	226.63	434.0467242	151.431542	947.7825	947.7825
72	6.925	1.9425	6.6775	591.4428479	7.870970963	107.2296536	3.2225	242.33	439.7464472	151.6964007	930.3	930.3
13	8.3	3.88	5.645	617.885737	12.28316242	104.8403828	3.06125	289.03	501.7872145	116.0985225	1423.045	1373.045
48	7.065	2.44	5.6925	591.1014388	6.770236079	103.4582314	2.708333334	247.73	466.2645326	124.8369062	1418.6525	1368.6525
6	6.3025	1.465	6.1225	574.5119173	8.24978366	103.7074051	2.549583333	219.9	455.5045807	119.0073366	1764.1875	1714.1875
19	6.6325	1.525	7.13	582.2392411	5.114689771	106.8039318	2.688958333	225.5	462.6246418	119.6145993	1720.095	1670.095
13	6.1525	0.94	7.3325	570.1119966	5.625671557	106.8010813	2.733958334	209.56	445.4745847	124.6374119	1464.855	1414.855
89	7.445	1.92	8.3025	604.9605069	8.399916048	111.0978007	3.005208333	242	465.8589318	139.101575	1129.015	1079.015
61	6.745	1.39	7.5825	586.0298672	7.071678901	108.4796393	2.957083333	225.79	434.06438	151.9654873	936.955	886.955
60	7.2175	2.0225	7.225	598.7597686	8.189116825	108.9859137	3.130625	246.19	434.3854913	164.3742773	830.9375	780.9375
10	3.73	1.8325	2.0375	595.6629718	15.03330728	98.58417406	3.1875	142.27	429.4468192	166.2161526	764.85	714.85
40	8.5425	4.1725	5.6	623.6394047	14.38262816	104.8266412	3.210208333	302.53	520.8538955	102.7855093	1694.0125	1644.0125
8	7.3525	3.015	5.15	596.243425	9.683211471	102.2711833	2.894166667	264.27	483.1715494	113.0718757	1763.505	1713.505
8	5.895	1.57	4.985	559.4186906	0	100.6348999	2.501041667	210.7	443.0787874	116.3399032	1997.68	1947.68
44	7.1575	2.3675	6.38	594.98414	9.993678415	104.7251322	2.615833333	245.32	479.0439938	115.9401461	1744.445	1694.445
7	4.9475	0.31	5.34	531.1518351	0	100.9131329	2.355833333	173.64	419.073804	112.0780311	1895.1375	1845.1375
12	5.1275	0.3	6.1225	538.2793746	0	103.0146331	2.47375	179.19	426.3583753	111.9209993	2059.525	2009.525
15	5.6025	0.5525	6.86	551.0902174	0	105.3863098	2.630833334	190.87	432.0015722	119.0886452	1602.9525	1552.9525
31	5.7075	0.645	6.8575	557.4995593	0	105.5174767	2.727708333	195	430.091322	127.4082372	1303.03	1253.03
61	7.0075	1.775	7.5775	593.1259644	4.532775668	109.1178992	2.993333333	236.35	448.7883385	144.3376259	1032.015	982.015
118	7.6125	2.455	7.32	607.9430301	9.008444021	110.0150426	3.180625	257.84	431.5050797	176.4379505	756.715	706.715
26	4.2675	2.15	2.5875	621.9010284	14.97436627	103.4008399	3.19125	153.38	440.4681627	181.4328657	711.95	661.95
38	8.17	3.72	5.765	615.7633743	13.42315839	104.3275994	3.0175	287.29	511.2419521	104.5214222	1799.54	1799.54
22	7.0025	2.5625	5.475	587.5587326	3.08683102	102.0928736	2.668958334	246.09	473.3750972	114.1836353	1870.275	1870.275
3	5.71	1.2475	5.205	558.189509	5.537327857	100.3006398	2.283125	205.41	444.0190363	114.1704728	2272.515	2272.515
9	6.005	1.33	5.9275	564.6702653	1.526387495	102.5569809	2.341458334	210.14	449.1941006	115.4761648	2090.55	2090.55
13	5.24	0.4675	5.8875	542.7605665	0	102.2491121	2.397083333	188.16	427.9216936	114.8388729	1891.14	1891.14
22	5.5675	0.59	6.41	554.0691893	0	103.7129956	2.560625	197.08	432.2242496	121.8449397	1512.1825	1512.1825
11	5.1025	0.165	6.2475	535.3764422	0	103.6014573	2.571041667	179.51	416.8894585	118.4869837	1405.255	1405.255
14	6.595	1.4375	7.2275	581.7692586	7.865561659	107.7657958	2.868125	228.96	451.0454126	130.723846	1275.835	1275.835
73	6.915	1.8375	6.8425	590.4373473	7.80954292	107.9266327	2.98	241.59	430.4594304	159.9779169	851.245	851.245
132	7.74	2.6975	6.73	610.0286103	10.19166878	109.424628	3.194375	265.48	416.1753203	193.85329	662.7675	662.7675
122	5.91	2.305	4.475	603.8953563	12.13193764	108.8335516	3.426944444	206.2125	359.0582881	244.8370682	460.0875	460.0875
17	7.79	3.7725	4.5675	604.354862	13.89701019	100.275936	3.171875	282.72	497.3755784	106.9792836	1678.175	1678.175
13	6.1875	3.1475	3.465	613.6970506	14.55307017	100.5637531	3.067222222	221.4525	477.6888405	136.0082102	1016.5	1016.5
8	6.4825	2.27	4.62	576.4639434	9.59282407	99.16431377	2.532916667	238.05	464.5567889	111.9071545	2196.69	2196.69
5	7.0925	2.5	6.06	591.7114661	9.28893998	103.4342878	2.387291667	246.63	485.6911628	106.0203033	2641.87	2641.87
13	6.695	1.9625	6.1375	582.9791807	8.484800927	103.3603623	2.2275	233.23	471.8516484	111.1275323	2273.76	2273.76
9	5.9675	1.2525	5.915	563.7697348	4.499337103	102.4302204	2.268541667	211.4	449.4576392	114.3120955	2154.73	2154.73
8	6.22	1.255	6.6825	571.994709	6.64897213	104.6421014	2.503125	219.67	452.0770147	119.9176943	1652.485	1652.485
83	6.6075	1.4675	7.0275	582.4375194	3.541774422	106.0274727	2.7075	227.45	452.7870927	129.6504267	1290.58	1290.58
56	5.3525	0.3975	6.1975	546.2387064	0	103.6142732	2.632083333	190.94	415.172396	131.0663104	1143.0525	1143.0525
75	6.6875	1.61	6.92	584.7855957	6.488778883	107.161406	2.912708334	234.24	435.5090422	149.2765535	947.8075	947.8075
117	7.885	2.805	6.7	612.8086458	11.67488969	109.8624089	3.146041667	270.42	429.9495105	182.8591353	720.8275	720.8275
215	8.24	3.1825	7.13	620.4632132	11.12095112	110.3003153	3.553958334	276.88	419.7363316	200.7268815	644.865	644.865
274	8.2825	3.2525	7.1425	621.270732	12.43817167	110.2153161	3.669166667	277.72	426.6796283	194.5911037	670.215	670.215
146	7.91	3.1725	6.075	609.4896423	11.07224675	107.0640135	3.632708334	266.28	430.4978074	178.9918349	726.4825	726.4825
104	7.985	3.2225	5.9675	612.1328273	10.91425139	107.6775251	3.49125	269.47	434.0631961	178.0696312	733.58	733.58
126	6.235	2.6675	4.3475	619.8649939	12.1682201	108.4639109	3.339444444	209.82	400.1289941	219.7359999	570.2375	570.2375
79	8.0625	3.6475	5.7875	611.1070633	12.61288135	105.7211977	3.533333333	272.9	443.575449	167.5316143	779.41	779.41
15	6.0875	3.16	3.545	610.1395976	14.74389245	99.84423016	3.284166667	220.2825	486.9151125	123.224485	1178.32	1178.32
34	8.345	4.21	5.275	616.7127666	13.78348466	101.504802	3.304791667	290.83	515.4274529	101.2853137	1771.2925	1771.2925
39	6.63	2.6	4.3975	579.7931354	8.037481329	98.0611417	3.027708333	244.01	467.0336193	112.7595161	1865.18	1865.18
7	7.77	3.615	4.9225	604.0485883	12.95121386	101.0151636	2.9	276.2	500.057322	103.9912663	1915.2725	1915.2725
35	7.395	2.8675	5.84	596.8806187	6.040552244	102.946408	2.613541667	258.68	486.1275508	110.7530679	1955.495	1955.495
1	5.6475	1.185	5.105	553.9873328	0	100.1172456	2.188541667	201.15	442.4967833	111.4905495	2742.9275	2742.9275
9	7.025	2.1375	6.6375	590.9221809	8.586044766	105.0123661	2.292708334	241.59	482.288207	108.6339739	2394.4275	2394.4275
29	6.495	1.575	6.51	578.3885255	7.76881249	104.2242858	2.345833333	225.62	463.7856924	114.6028331	1944.3025	1944.3025
38	6.4225	1.3625	6.935	577.364459	6.154320918	105.2445239	2.524583333	222	457.2633362	120.1011228	1591.42	1591.42
33	5.8075	0.8275	6.68	558.9269226	0	104.6052732	2.590625	201.33	432.013041	126.9138816	1314.83	1314.83
152	6.97	1.75	7.4375	591.7619441	5.098042428	108.1699724	2.878958334	239.26	442.9763626	148.7855814	963.95	963.95
157	7.72	2.4875	7.2225	609.5572052	10.03815526	109.8598312	3.0675	262.04	430.5475217	179.0096835	742.285	742.285
106	7.855	2.93	5.9925	610.8241731	11.29865758	108.1640422	3.16	271.67	431.0507344	179.7734387	725.1	725.1
121	8.12	3.0775	6.9875	617.3366746	10.24457567	110.4171784	3.40375	274.72	419.0792865	198.2573881	652.36	652.36
181	7.8425	2.6875	7.1075	611.547587	10.74921187	110.173862	3.29125	266.86	422.4167604	189.1308266	689.2975	689.2975
262	7.825	2.6	7.2475	611.2979753	9.72103513	110.4122932	3.217083333	265.63	433.0048095	178.2931658	747.26	747.26
127	7.2925	2.1325	7.3775	597.9003063	8.296034047	108.863004	3.218333333	246.22	434.1147075	163.7855988	826.03	826.03
145	7.365	2.2925	7.2225	599.543789	9.254791366	108.4347926	3.289791667	247.75	435.1585748	164.3852142	820.34	820.34
176	7.455	2.39	7.1125	601.4343099	9.863819714	108.239126	3.338958333	248.85	437.4408543	163.9934556	824.415	824.415
124	6.94	1.9025	6.935	589.304656	8.772216343	106.7495164	3.334166667	230.32	432.0027267	157.3019293	862.99	862.99
72	7.145	2.0625	6.97	593.9708539	8.696721846	107.7803313	3.247083334	237.43	432.2492502	161.7216037	836.03	836.03
103	7.4275	2.375	6.7025	601.2588625	9.674124647	108.4270877	3.123541667	248.13	441.3275018	159.9313607	855.0475	855.0475
86	7.5	2.4625	6.6325	602.6290714	9.671236434	108.3704271	3.1475	248.85	432.8018218	169.8272497	785.0425	785.0425
66	7.17	2.245	6.66	594.3216651	10.98529657	106.9442658	3.19125	238.66	435.3162908	159.0053743	852.06	852.06
74	7.2775	2.4775	6.8175	596.4372891	10.113371	106.7153561	3.242291667	241.61	436.5616293	159.8756599	842.4575	842.4575
64	7.74	3.1925	6.16	605.0612975	11.44747269	105.8558462	3.476458333	256.3	437.332467	167.7288305	778.7275	778.7275
50	7.875	3.89	4.86	605.8840819	13.55532253	99.68359258	3.194166667	285.98	504.3023508	101.5817311	1819.1775	1819.1775
24	7.63	3.43	5.295	602.095143	13.01570888	100.7100696	3.112708334	271.12	494.3196456	107.7754974	1781.6925	1781.6925
63	7.8225	3.4525	5.6925	607.4129099	12.94094358	102.4550813	3.16375	275.1	503.9284521	103.4844578	1956.34	1956.34
37	8.1525	4.205	4.695	610.1120038	14.55883716	100.6092191	3.361458333	287.7	506.2103669	103.9016369	1674.385	1674.385
32	6.81	2.7025	4.4725	582.1836724	7.629077874	99.09526264	2.741041667	249.37	472.3310868	109.8525855	2223.9225	2223.9225
23	6.7375	2.365	5.585	583.0233488	10.14221127	101.1123503	2.537083334	240.99	474.6290987	108.3942501	2537.2475	2537.2475
32	6.45	1.7475	5.9025	577.7648293	1.788173326	101.9263461	2.394583334	226.39	466.852742	110.9120873	2283.8675	2283.8675
9	6.86	1.94	6.49	587.3606246	9.149890921	104.1757512	2.419166667	237.22	479.4466202	107.9140044	2530.4125	2530.4125
5	5.62	0.84	5.9975	554.4081992	3.510384316	102.0602465	2.3275	195.67	440.6633787	113.7448205	2050.315	2050.315
10	4.9925	0.16	6.0275	528.2342043	0	102.3094054	2.369583333	173.77	418.2970143	109.9371899	1757.605	1757.605
20	5.5475	0.5775	6.6225	551.6506051	0	104.135273	2.573958333	195.61	431.7793807	119.8712244	1543.8	1543.8
80	6.695	1.6225	7.17	584.403562	6.957735584	107.1337034	2.831458333	232.36	440.2295223	144.1740397	1002.79	1002.79
156	7.795	2.5925	7.23	609.9385825	9.428346599	110.4635861	3.090416667	264.41	439.9561313	169.9824512	798.065	798.065
198	8.295	3.1475	6.66	622.3750818	11.62093019	110.7223108	3.218541667	278.99	446.328391	176.0466908	763.8325	763.8325
116	7.5275	2.4975	6.2025	601.7854522	8.45136334	108.1962466	3.105416667	255.31	433.2962141	168.4892381	791.13	791.13
115	6.6775	1.55	6.7575	581.5985516	5.560182727	107.4702799	2.999166667	227.28	432.4622669	149.1362847	936.7925	936.7925
87	7.045	1.7775	7.5075	591.6226376	7.793824598	108.9501784	3.126666667	235.18	426.6108632	165.0117745	809.62	809.62
83	6.505	1.3275	7.16	576.4830067	4.455551468	107.1519763	3.102916667	219.86	418.1867085	158.2962983	837.05	837.05
100	6.3775	1.2175	7.175	574.6118676	3.98011852	106.6357615	3.13	215.44	424.0430254	150.5688421	904.2325	904.2325
168	7.085	1.8375	7.5	592.9386341	7.804733369	108.5539545	3.244791667	236.04	430.8156051	162.1230291	829.2225	829.2225
76	6.865	1.715	7.1975	586.5927427	8.188350639	107.4507411	3.253541667	228.64	432.1796871	154.4130556	887.1175	887.1175
78	6.675	1.57	7.125	582.0693052	7.901627467	106.9016663	3.2925	220.61	431.1235274	150.9457779	913.44	913.44
90	7.5175	2.29	7.52	603.7786117	9.425861239	109.4227588	3.371041667	244.35	441.370402	162.4082097	838.53	838.53
76	7.4275	2.2575	7.27	600.724611	8.814253304	108.886746	3.2975	241.14	440.4270309	160.2975801	852.7575	852.7575
82	7.4575	2.3275	7.225	601.6338228	9.069320533	108.6041871	3.313333334	239.41	436.4323796	165.2014431	813.75	813.75
61	7.1825	2.1425	7.075	594.3139152	10.38642177	107.4066865	3.312083334	233.63	430.8409488	163.4729664	817.1825	817.1825
67	7.395	2.43	7.2075	599.2465048	9.951487707	107.4953109	3.356666667	239.47	435.7687807	163.4777241	819.48	819.48
77	7.545	2.8075	6.5125	601.7033491	10.71121674	106.3736833	3.446875	245.83	435.1441584	166.5591907	789.58	789.58
23	8.0375	3.88	5.2875	610.0722087	12.93903645	100.9324267	3.202916667	284.62	511.7351119	98.3370968	2032.6825	2032.6825
22	7.735	3.33	5.9875	605.6354065	11.9543005	102.6695647	3.02875	270.68	507.6552688	97.98013774	2536.8575	2536.8575
17	6.6125	1.98	5.945	579.7330766	7.083642284	102.1070054	2.490833333	233.37	466.4588531	113.2742236	2062.53	2062.53
2	5.4175	0.7225	5.655	548.1291199	0	100.8296402	2.322708333	190.37	436.8626219	111.266498	2360.6225	2360.6225
3	5.4375	0.6225	6.1075	547.2220105	0	102.3717312	2.412083333	191.08	435.594757	111.6272535	2172.3975	2172.3975
16	6.34	1.2075	7.1725	573.4531435	5.438513052	106.1184497	2.622708334	223.04	456.0348719	117.4182717	1765.635	1765.635
50	6.3875	1.17	7.3175	575.7624345	5.442912813	106.7232898	2.704375	224.37	443.2920973	132.4703372	1196.9025	1196.9025
68	6.315	1.2675	6.715	573.3189309	6.678108148	105.7465355	2.777083333	224.02	430.9490654	142.3698655	1011.16	1011.16
82	6.6525	1.72	6.33	582.3422241	5.253431412	105.3358797	2.955416667	232.99	430.8336419	151.5085822	895.865	895.865
76	7.39	2.2575	6.715	599.7009615	10.31089207	108.3117943	3.07625	249.62	438.8026983	160.8982632	843.2975	843.2975
71	6.1975	1.1225	6.48	568.271491	0.591816369	105.7014067	2.938541667	208.54	425.9864822	142.2850088	990.285	990.285
43	5.3625	0.3325	6.48	539.8492977	0	104.8009889	2.888333333	179.75	404.7374537	135.111844	974.9475	974.9475
47	6.0725	0.815	7.4475	564.086807	3.49042389	106.7768341	3.119791667	199.32	412.8678893	151.2189177	871.5425	871.5425
61	5.86	0.515	7.585	558.1922586	0	106.351639	3.182083333	189.65	404.1554998	154.0367588	820.515	820.515
114	6.7825	1.3675	7.845	584.5398716	5.36019678	108.2139606	3.291666667	215.91	425.1294696	159.410402	839.6875	839.6875
64	6.2625	1.005	7.2575	570.2578382	4.038384529	106.2250687	3.198333333	203.78	422.9832129	147.2746253	926.955	926.955
76	6.1225	0.9625	7.03	566.097628	4.798766217	106.0186015	3.167083333	202.17	427.2612081	138.8364199	1029.565	1029.565
70	6.3625	1.285	6.9125	572.9522179	3.740316605	106.3295336	3.217916667	211.6	431.6329563	141.3192616	1010.7525	1010.7525
75	7.0525	1.9225	7.185	590.3900027	7.380714678	108.0488506	3.313541667	231.8	435.9724465	154.4175561	889.9525	889.9525
52	6.9525	1.8525	7.0825	588.9100137	7.756078379	107.3403674	3.300833333	227.33	431.0436471	157.8663666	851.77	851.77
78	7.3	2.155	7.305	596.8797875	8.052256641	108.4196672	3.37875	234.89	433.4869905	163.392797	821.095	821.095
70	7.4575	2.315	7.405	601.2056097	10.82621884	108.4027866	3.445208334	239.69	434.7452478	166.4603619	799.465	799.465
73	7.405	2.3475	7.2575	599.5480734	9.300061132	107.5239833	3.44375	240.31	427.0304379	172.5176355	756.1975	756.1975
76	7.64	2.9425	6.2125	602.5824223	10.93500022	105.3958096	3.633958333	251.7	426.7070579	175.8753643	724.815	724.815
14	5.5275	2.585	3.4925	593.8274227	13.17262578	98.10679222	3.128333334	204.45	481.3668356	112.4605872	1562.69	1562.69
34	6.7275	2.495	5.42	582.3040969	10.98689464	99.92221459	2.828125	249.39	476.5046347	105.7994622	2890.0475	2890.0475
33	7.5675	3.29	5.92	601.338541	12.15288717	102.0665691	2.959375	273.53	504.5023023	96.83623874	2841.635	2841.635
62	5.5825	2.505	3.9275	596.1682912	11.72314191	100.6013022	2.911388889	203.25	482.2607913	113.9074998	1597.7225	1597.7225
20	7.6075	2.845	6.8075	604.9576134	10.61390974	104.64611	2.67625	263	500.6622007	104.2954127	2214.715	2214.715
8	5.6725	0.95	6.0525	550.3966595	0	102.0028635	2.402083333	200.03	440.6316933	109.7649662	2479.3525	2479.3525
8	4.54	-0.1325	5.6825	520.2620602	0	100.6705959	2.319375	161.38	414.6218399	105.6402204	2115.015	2115.015
31	5.71	0.73	6.5275	556.4926499	0	104.0591242	2.531875	201.65	436.9663285	119.5263214	1563.045	1563.045
42	5.6075	0.66	6.1575	550.3818804	0	103.8549316	2.544375	198.59	427.8223919	122.5594885	1383.7425	1383.7425
70	5.815	0.975	5.955	559.2020283	2.164615825	103.684649	2.681041667	207.15	429.5956048	129.6064235	1208.6425	1208.6425
78	7.41	2.2625	7.0225	599.8522493	9.221927473	108.1613353	3.031458333	249.66	445.8692017	153.9830476	903.8275	903.8275
33	5.6125	0.635	6.065	546.4130272	0	104.1161395	2.80625	188.35	415.0387233	131.3743039	1069.2125	1069.2125
53	5.4475	0.35	6.73	543.3627528	0	105.158187	2.847916667	180.41	414.4329608	128.929792	1097.855	1097.855
69	5.5	0.3125	7.0475	546.7633971	0	105.6849103	2.948125	181.76	407.3500179	139.4133792	936.7125	936.7125
