code,site_id,pantrap,species,abundance
58,BON_1,4,Lupinus angustifolius,14
59,BON_1,5,Linaria spartea,14
60,BON_1,5,Centaurea calcitrapa,2
61,BON_1,5,Misopates orontium,6
62,BON_1,6,Misopates orontium,1
63,BON_1,6,Halimium calycinum,2
64,BON_1,8,Halimium calycinum,14
65,BON_1,9,Halimium calycinum,1
66,BON_1,3,Rosmarinus officinalis,2
67,BON_1,6,Rosmarinus officinalis,12
68,URB_1,3,Cistus salvifolius,16
69,URB_1,7,Cistus salvifolius,1
70,URB_1,8,Cistus salvifolius,1
71,URB_1,2,Halimium calycinum,6
72,URB_1,3,Halimium calycinum,2
73,URB_1,8,Halimium calycinum,2
74,URB_1,9,Halimium calycinum,4
75,URB_1,1,Echium sp.,1
76,URB_1,4,Echium sp.,1
77,URB_1,5,Echium sp.,3
78,URB_1,7,Echium sp.,2
79,URB_1,1,Senecio pequeño,3
80,URB_1,2,Senecio pequeño,1
81,URB_1,5,Senecio pequeño,10
82,URB_1,9,Senecio pequeño,1
83,URB_1,4,Rosmarinus officinalis,36
84,URB_1,2,Linaria spartea,3
85,URB_1,7,Linaria spartea,11
86,URB_1,9,Linaria spartea,4
87,URB_1,7,Malcolmia lacera,49
88,URB_1,7,Acis trichophylla,3
89,URB_1,1,Leontodon sp.,5
90,URB_1,1,Cistus ladanifer,5
91,URB_1,2,Reseda phyteuma,6
92,URB_1,2,Raphanus raphanistrum,12
93,AZN_2,3,Aristolochia baetica,3
94,AZN_2,4,Aristolochia baetica,4
95,AZN_2,5,Aristolochia baetica,2
96,AZN_2,8,Aristolochia baetica,2
97,AZN_2,9,Aristolochia baetica,6
98,AZN_2,1,Cistus salvifolius,27
99,AZN_2,2,Cistus salvifolius,14
100,AZN_2,3,Cistus salvifolius,7
101,AZN_2,5,Cistus salvifolius,19
102,AZN_2,6,Cistus salvifolius,12
103,AZN_2,8,Cistus salvifolius,9
104,AZN_2,1,Reseda phyteuma,16
105,AZN_2,1,Oxalis pes-caprae,4
106,AZN_2,2,Erodium sp.,2
107,AZN_2,7,Erodium sp.,6
108,AZN_2,3,Senecio pequeño,6
109,AZN_2,6,Aristolochia paucinervis,2
110,AZN_2,7,Acis trichophylla,4
111,VILL_2,1,Cistus salvifolius,19
112,VILL_2,2,Cistus salvifolius,13
113,VILL_2,4,Cistus salvifolius,47
114,VILL_2,5,Cistus salvifolius,12
115,VILL_2,6,Cistus salvifolius,6
116,VILL_2,7,Cistus salvifolius,4
117,VILL_2,8,Cistus salvifolius,12
118,VILL_2,9,Cistus salvifolius,7
119,VILL_2,1,Xolantha tuberaria,2
120,VILL_2,3,Xolantha tuberaria,2
121,VILL_2,5,Xolantha tuberaria,2
122,VILL_2,7,Xolantha tuberaria,100
123,VILL_2,5,Anemone palmata,1
124,VILL_2,8,Anemone palmata,6
125,VILL_2,9,Anemone palmata,1
126,VILL_2,8,Rosmarinus officinalis,9
127,VILL_2,3,Halimium halimifolium,4
128,HIN_2,1,Anemone palmata,12
129,HIN_2,2,Anemone palmata,2
130,HIN_2,4,Anemone palmata,1
131,HIN_2,7,Anemone palmata,1
132,HIN_2,8,Anemone palmata,9
133,HIN_2,1,Cistus salvifolius,4
134,HIN_2,4,Cistus salvifolius,10
135,HIN_2,7,Cistus salvifolius,3
136,HIN_2,8,Cistus salvifolius,1
137,HIN_2,9,Cistus salvifolius,4
138,HIN_2,1,Aristolochia paucinervis,3
139,HIN_2,4,Lavandula stoechas,49
140,HIN_2,7,Lavandula stoechas,67
141,HIN_2,8,Cerinthe major,2
142,HIN_2,6,Linum sp.,2
143,HIN_2,8,Linum sp.,3
144,HIN_2,5,Muscari,1
145,HIN_2,6,Muscari,1
146,HIN_2,2,Cistus albidus,2
147,HIN_2,5,Cistus albidus,16
148,HIN_2,6,Cistus albidus,6
149,HIN_2,2,Erodium,8
150,HIN_2,6,Leontodon sp.,4
151,HIN_2,9,Leontodon sp.,3
152,BON_2,7,Halimium halimifolium,3
153,BON_2,1,Xolantha tuberaria,12
154,BON_2,4,Xolantha tuberaria,2
155,BON_2,6,Xolantha tuberaria,24
156,BON_2,7,Xolantha tuberaria,14
157,BON_2,7,Echium plantagineum,9
158,BON_2,3,Erodium sp.,1
159,BON_2,4,Erodium sp.,3
160,BON_2,7,Erodium sp.,3
161,BON_2,1,Cistus salvifolius,4
162,BON_2,2,Cistus salvifolius,13
163,BON_2,3,Cistus salvifolius,18
164,BON_2,4,Cistus salvifolius,4
165,BON_2,6,Cistus salvifolius,33
166,BON_2,9,Cistus salvifolius,15
167,BON_2,1,Linaria spartea,9
168,BON_2,5,Linaria spartea,6
169,BON_2,1,Lupinus angustifolius,33
170,BON_2,2,Leontodon sp.,1
171,BON_2,6,Leontodon sp.,1
172,BON_2,2,Vicia sp.,9
173,BON_2,5,Silene colorata,26
174,BON_2,5,Sonchus oleraceus,3
175,BON_2,5,Carduus bourgeanus,2
176,BON_2,3,Acis trichophylla,2
177,BON_2,5,Acis trichophylla,19
178,BON_2,6,Malcolmia lacera,12
179,BON_2,8,Malcolmia lacera,29
180,BON_2,8,Senecio sp.,41
181,URB_2,2,Cistus salvifolius,24
182,URB_2,3,Cistus salvifolius,8
183,URB_2,6,Cistus salvifolius,12
184,URB_2,7,Cistus salvifolius,2
185,URB_2,8,Cistus salvifolius,33
186,URB_2,8,Halimium calycinum,1
187,URB_2,9,Halimium calycinum,19
188,URB_2,2,Xolantha tuberaria,3
189,URB_2,3,Xolantha tuberaria,6
190,URB_2,5,Xolantha tuberaria,3
191,URB_2,6,Xolantha tuberaria,21
192,URB_2,7,Xolantha tuberaria,66
193,URB_2,3,Echium plantagineum,3
194,URB_2,5,Echium plantagineum,5
195,URB_2,5,Erodium cicutarium,2
196,URB_2,6,Erodium cicutarium,16
197,URB_2,9,Erodium cicutarium,4
198,URB_2,2,Dipcadi serotium,6
199,URB_2,2,Malcolmia lacera,2
200,URB_2,7,Malcolmia lacera,12
201,URB_2,3,Rosmarinus officinalis,22
202,URB_2,9,Linaria spartea,6
203,URB_2,7,Silene colorata,6
204,AZN_3,2,Aristolochia baetica,2
205,AZN_3,4,Aristolochia baetica,4
206,AZN_3,1,Cistus salvifolius,16
207,AZN_3,2,Cistus salvifolius,22
208,AZN_3,3,Cistus salvifolius,19
209,AZN_3,4,Cistus salvifolius,5
210,AZN_3,5,Cistus salvifolius,39
211,AZN_3,6,Cistus salvifolius,46
212,AZN_3,7,Cistus salvifolius,6
213,AZN_3,9,Cistus salvifolius,8
214,AZN_3,4,Leontodon longirostris,1
215,AZN_3,6,Leontodon longirostris,1
216,AZN_3,8,Leontodon longirostris,2
217,AZN_3,9,Leontodon longirostris,4
218,AZN_3,1,Oxalis pes-caprae,2
219,AZN_3,1,Arum italicum,1
220,AZN_3,3,Cistus albidus,4
221,AZN_3,3,Centaurea sp.,6
222,AZN_3,5,Xolantha tuberaria,2
223,AZN_3,6,Xolantha tuberaria,12
224,AZN_3,7,Xolantha tuberaria,9
225,AZN_3,8,Xolantha tuberaria,6
226,AZN_3,6,Cistus crispus,2
227,VILL_3,1,Cistus salvifolius,120
228,VILL_3,2,Cistus salvifolius,19
229,VILL_3,4,Cistus salvifolius,60
230,VILL_3,5,Cistus salvifolius,40
231,VILL_3,6,Cistus salvifolius,46
232,VILL_3,7,Cistus salvifolius,32
233,VILL_3,8,Cistus salvifolius,14
234,VILL_3,9,Cistus salvifolius,14
235,VILL_3,1,Xolantha tuberaria,6
236,VILL_3,3,Xolantha tuberaria,33
237,VILL_3,4,Xolantha tuberaria,16
238,VILL_3,5,Xolantha tuberaria,9
239,VILL_3,6,Xolantha tuberaria,10
240,VILL_3,8,Xolantha tuberaria,3
241,VILL_3,9,Xolantha tuberaria,2
242,VILL_3,4,Genista hirsuta,54
243,VILL_3,6,Genista hirsuta,9
244,VILL_3,4,Erodium sp.,7
245,VILL_3,9,Erodium sp.,22
246,VILL_3,4,Lysimachia arvensis,4
247,VILL_3,7,Lysimachia arvensis,3
248,VILL_3,3,Leontodon sp.,1
249,VILL_3,7,Leontodon sp.,3
250,VILL_3,8,Rosmarinus officinalis,6
251,VILL_3,2,Anemone palmata,1
252,VILL_3,9,Anemone palmata,1
253,VILL_3,2,Halimium halimifolium,3
254,VILL_3,3,Halimium halimifolium,15
255,VILL_3,3,Dipcadi serotium,9
256,VILL_3,3,Carduus sp.,2
257,HIN_3,1,Cistus salvifolius,29
258,HIN_3,2,Cistus salvifolius,18
259,HIN_3,3,Cistus salvifolius,11
260,HIN_3,4,Cistus salvifolius,62
261,HIN_3,5,Cistus salvifolius,6
262,HIN_3,7,Cistus salvifolius,16
263,HIN_3,8,Cistus salvifolius,6
264,HIN_3,9,Cistus salvifolius,22
265,HIN_3,1,Anemone palmata,4
266,HIN_3,7,Anemone palmata,2
267,HIN_3,4,Lavandula stoechas,29
268,HIN_3,7,Lavandula stoechas,22
269,HIN_3,8,Reseda phyteuma,12
270,HIN_3,9,Reseda phyteuma,3
271,HIN_3,5,Cistus albidus,12
272,HIN_3,6,Cistus albidus,19
273,HIN_3,2,Lathyrus ochrus,4
274,HIN_3,3,Muscari romoani,1
275,HIN_3,3,Daphne gnidium,100
276,HIN_3,3,Leontodon longirostris,3
277,HIN_3,6,Convolvulus althaeoides,9
278,HIN_3,8,Convolvulus althaeoides,2
279,BON_3,7,Parentucellia viscosa,9
280,BON_3,7,Halimium halimifolium,4
281,BON_3,7,Erodium sp.,3
282,BON_3,8,Erodium sp.,4
283,BON_3,7,Echium plantagineum,6
284,BON_3,4,Cistus crispus,12
285,BON_3,2,Cistus salvifolius,29
286,BON_3,3,Cistus salvifolius,4
287,BON_3,4,Cistus salvifolius,10
288,BON_3,6,Cistus salvifolius,14
289,BON_3,9,Cistus salvifolius,22
290,BON_3,4,Cistus monspeliensis,49
291,BON_3,2,Bituminaria bituminosa,6
292,BON_3,4,Bituminaria bituminosa,4
293,BON_3,1,Linaria spartea,7
294,BON_3,1,Malcolmia lacera,4
295,BON_3,3,Malcolmia lacera,23
296,BON_3,8,Malcolmia lacera,149
297,BON_3,1,Xolantha tuberaria,6
298,BON_3,5,Xolantha tuberaria,9
299,BON_3,6,Xolantha tuberaria,7
300,BON_3,2,Tolpis barbata,4
301,BON_3,2,Leontodon sp.,6
302,BON_3,9,Leontodon sp.,4
303,BON_3,5,Silene colorata,66
304,BON_3,5,Campanula matritensis,16
305,BON_3,8,Cistus libanotis,4
306,BON_3,8,Stellaria media,26
307,BON_3,9,Galactites tomentosa,6
308,BON_3,3,Lavandula stoechas,27
309,BON_3,6,Lavandula stoechas,33
310,URB_3,2,Cistus salvifolius,16
311,URB_3,3,Cistus salvifolius,4
312,URB_3,4,Cistus salvifolius,16
313,URB_3,6,Cistus salvifolius,44
314,URB_3,7,Cistus salvifolius,16
315,URB_3,8,Cistus salvifolius,39
316,URB_3,9,Cistus salvifolius,11
317,URB_3,8,Halimium halimifolium,24
318,URB_3,9,Halimium halimifolium,49
319,URB_3,2,Xolantha tuberaria,22
320,URB_3,3,Xolantha tuberaria,11
321,URB_3,5,Xolantha tuberaria,11
322,URB_3,6,Xolantha tuberaria,9
323,URB_3,7,Xolantha tuberaria,4
324,URB_3,4,Galactites tomentosa,3
325,URB_3,5,Galactites tomentosa,4
326,URB_3,3,Echium plantagineum,2
327,URB_3,4,Echium plantagineum,12
328,URB_3,5,Echium plantagineum,6
329,URB_3,1,Anthemis arvensis,4
330,URB_3,3,Anthemis arvensis,22
331,URB_3,5,Anthemis arvensis,70
332,URB_3,1,Silene colorata,16
333,URB_3,4,Silene colorata,4
334,URB_3,5,Silene colorata,19
335,URB_3,6,Silene colorata,14
336,URB_3,7,Silene colorata,29
337,URB_3,1,Leontodon sp.,17
338,URB_3,6,Leontodon sp.,4
339,URB_3,9,Leontodon sp.,16
340,URB_3,9,Calycium,4
341,URB_3,1,Andryala integrifolia,8
342,URB_3,1,Centaurea calcitrapa,6
343,URB_3,3,Malcolmia lacera,4
344,URB_3,5,Malcolmia lacera,16
345,AZN_4,4,Leontodon sp.,8
346,AZN_4,7,Leontodon sp.,16
347,AZN_4,8,Leontodon sp.,7
348,AZN_4,9,Leontodon sp.,2
349,AZN_4,4,Aristolochia baetica,4
350,AZN_4,1,Gladius illyricus,3
351,AZN_4,1,Cistus salvifolius,27
352,AZN_4,2,Cistus salvifolius,37
353,AZN_4,3,Cistus salvifolius,9
354,AZN_4,5,Cistus salvifolius,14
355,AZN_4,6,Cistus salvifolius,28
356,AZN_4,7,Cistus salvifolius,31
357,AZN_4,8,Cistus salvifolius,3
358,AZN_4,9,Cistus salvifolius,13
359,AZN_4,1,Convolvulus althaeoides,2
360,AZN_4,5,Convolvulus althaeoides,3
361,AZN_4,3,Cistus albidus,36
362,AZN_4,3,Centaurea calcitrapa,4
363,AZN_4,6,Xolantha tuberaria,16
364,AZN_4,7,Xolantha tuberaria,12
365,AZN_4,8,Xolantha tuberaria,22
366,AZN_4,6,Cistus crispus,4
367,AZN_4,7,Dipcadi sp.,3
368,VILL_4,1,Chrysantenum sesetum,43
369,VILL_4,3,Chrysantenum sesetum,47
370,VILL_4,7,Chrysantenum sesetum,4
371,VILL_4,1,Xolantha tuberaria,6
372,VILL_4,3,Xolantha tuberaria,77
373,VILL_4,4,Xolantha tuberaria,33
374,VILL_4,5,Xolantha tuberaria,16
375,VILL_4,6,Xolantha tuberaria,22
376,VILL_4,8,Xolantha tuberaria,4
377,VILL_4,9,Xolantha tuberaria,24
378,VILL_4,1,Echium plantagineum,4
379,VILL_4,1,Cistus salvifolius,16
380,VILL_4,2,Cistus salvifolius,79
381,VILL_4,4,Cistus salvifolius,14
382,VILL_4,5,Cistus salvifolius,42
383,VILL_4,6,Cistus salvifolius,37
384,VILL_4,7,Cistus salvifolius,6
385,VILL_4,8,Cistus salvifolius,12
386,VILL_4,9,Cistus salvifolius,14
387,VILL_4,4,Silene colorata,19
388,VILL_4,4,Genista hirsuta,22
389,VILL_4,8,Genista hirsuta,5
390,VILL_4,9,Genista hirsuta,116
391,VILL_4,4,Andryala integrifolia,4
392,VILL_4,3,Rosmarinus officinalis,200
393,VILL_4,7,Rosmarinus officinalis,21
394,VILL_4,9,Rosmarinus officinalis,4
395,VILL_4,6,Cistus crispus,12
396,VILL_4,3,Leontodon sp.,6
397,VILL_4,2,Halimium halimifolium,17
398,HIN_4,1,Anemone palmata,3
399,HIN_4,3,Anemone palmata,2
400,HIN_4,7,Anemone palmata,7
401,HIN_4,1,Cistus salvifolius,38
402,HIN_4,4,Cistus salvifolius,46
403,HIN_4,5,Cistus salvifolius,22
404,HIN_4,7,Cistus salvifolius,19
405,HIN_4,8,Cistus salvifolius,12
406,HIN_4,9,Cistus salvifolius,11
407,HIN_4,4,Lavandula stoechas,71
408,HIN_4,7,Lavandula stoechas,27
409,HIN_4,8,Xolantha tuberaria,3
410,HIN_4,8,Reseda phyteuma,49
411,HIN_4,8,Serapias lingua,27
412,HIN_4,2,Convolvulus althaeoides,4
413,HIN_4,5,Convolvulus althaeoides,6
414,HIN_4,6,Convolvulus althaeoides,27
415,HIN_4,9,Convolvulus althaeoides,2
416,HIN_4,2,Cistus albidus,18
417,HIN_4,5,Cistus albidus,6
418,HIN_4,6,Cistus albidus,4
419,HIN_4,5,Crepis sp.,16
420,HIN_4,2,Leontodon longirostris,16
421,HIN_4,6,Leontodon longirostris,11
422,HIN_4,3,Leopoldia comosa,1
423,HIN_4,9,Cynoglossum creticum,16
424,BON_4,7,Bellardia trixiajo,22
425,BON_4,1,Halimium halimifolium,9
426,BON_4,7,Halimium halimifolium,33
427,BON_4,1,Xolantha guttata,19
428,BON_4,7,Xolantha guttata,16
429,BON_4,7,Tolpis barbata,3
430,BON_4,2,Tolpis barbata,3
431,BON_4,2,Leontodon sp.,4
432,BON_4,3,Leontodon sp.,2
433,BON_4,4,Leontodon sp.,2
434,BON_4,7,Leontodon sp.,4
435,BON_4,4,Cistus crispus,41
436,BON_4,6,Cistus crispus,31
437,BON_4,4,Cistus monspeliensis,16
438,BON_4,2,Bituminaria bituminosa,21
439,BON_4,4,Bituminaria bituminosa,7
440,BON_4,2,Andryala integrifolia,57
441,BON_4,3,Andryala integrifolia,4
442,BON_4,5,Andryala integrifolia,147
443,BON_4,8,Andryala integrifolia,33
444,BON_4,3,Silene colorata,8
445,BON_4,5,Silene colorata,300
446,BON_4,8,Silene colorata,3
447,BON_4,8,Malcolmia lacera,14
448,BON_4,6,Cistus libanotis,4
449,BON_4,8,Cistus libanotis,2
450,BON_4,6,Galactites tomentosa,6
451,BON_4,9,Galactites tomentosa,7
452,BON_4,9,Crepis sp.,48
453,BON_4,3,Lavandula stoechas,36
454,BON_4,3,Cistus salvifolius,4
455,URB_4,6,Halimium halimifolium,29
456,URB_4,8,Halimium halimifolium,46
457,URB_4,1,Silene colorata,42
458,URB_4,2,Silene colorata,49
459,URB_4,3,Silene colorata,37
460,URB_4,5,Silene colorata,76
461,URB_4,6,Silene colorata,77
462,URB_4,7,Silene colorata,203
463,URB_4,8,Silene colorata,6
464,URB_4,9,Silene colorata,122
465,URB_4,3,Xolantha guttata,22
466,URB_4,5,Xolantha guttata,39
467,URB_4,6,Xolantha guttata,17
468,URB_4,7,Xolantha guttata,24
469,URB_4,3,Anthemis arvensis,46
470,URB_4,5,Anthemis arvensis,157
471,URB_4,7,Anthemis arvensis,129
472,URB_4,1,Galactites tomentosa,4
473,URB_4,4,Galactites tomentosa,14
474,URB_4,5,Galactites tomentosa,6
475,URB_4,6,Galactites tomentosa,2
476,URB_4,2,Cistus salvifolius,6
477,URB_4,1,Andryala integrifolia,77
478,URB_4,2,Andryala integrifolia,6
479,URB_4,5,Andryala integrifolia,4
480,URB_4,7,Andryala integrifolia,17
481,URB_4,9,Andryala integrifolia,31
482,URB_4,2,Leontodon sp.,3
483,URB_4,3,Leontodon sp.,6
484,URB_4,6,Linaria spartea,14
485,URB_4,9,Linaria spartea,66
486,URB_4,9,Carduus sp.,4
487,URB_4,9,Thapsia villosa,2
488,URB_4,4,Echium plantagineum,16
489,URB_4,4,Crepis sp.,9
490,URB_4,4,Sonchus oleraceus,4
